Amount, Period, Answer
500.6, 1, 528.12
500, 1, 527.52
500, 2, 553.68
500, 3, 580.68
500, 4, 563.52
500, 5, 580.2
2500, 1, 2637.48
2500, 2, 2768.64
2500, 3, 2904.12
2500, 4, 2818.08
2500, 5, 2899.8
5000, 1, 5274.96
5000, 2, 5537.28
5000, 3, 5808.24
5000, 4, 5636.64
5000, 5, 5799.6
5001, 1, 5220.36
5001, 2, 5428.32
5001, 3, 5641.56
5001, 4, 5528.16
5001, 5, 5662.8
7350, 1, 7672.32
7350, 2, 7978.08
7350, 3, 8291.52
7350, 4, 8124.96
7350, 5, 8322
10000, 1, 10438.56
10000, 2, 10854.48
10000, 3, 11280.96
10000, 4, 11053.92
10000, 5, 11322.6
